S. No.,university,college,College Type,State Name,District Name
1,"Acharya Nagarjuna University, Guntur ",Aazad College of Education ,Affiliated College,Andhra Pradesh,Prakasam
2,"Acharya Nagarjuna University, Guntur ",Abhinav Institute of Management & Technology ,Affiliated College,Andhra Pradesh,Prakasam
3,"Acharya Nagarjuna University, Guntur ",Abhyudaya Mahila Degree College ,Affiliated College,Andhra Pradesh,Guntur
4,"Acharya Nagarjuna University, Guntur ",A.B.M. College ,Affiliated College,Andhra Pradesh,Prakasam
5,"Acharya Nagarjuna University, Guntur ",A.B.R College of Education ,Affiliated College,Andhra Pradesh,Prakasam
6,"Acharya Nagarjuna University, Guntur ",A.C.College (Day) ,Affiliated College,Andhra Pradesh,Guntur
7,"Acharya Nagarjuna University, Guntur ",A.C.College of Law ,Affiliated College,Andhra Pradesh,Guntur
8,"Acharya Nagarjuna University, Guntur ",A.C.Evening College ,Affiliated College,Andhra Pradesh,Guntur
9,"Acharya Nagarjuna University, Guntur ",Acharya N.G.Ranga College of Education ,Affiliated College,Andhra Pradesh,Guntur
10,"Acharya Nagarjuna University, Guntur ",Adarsa College of Education ,Affiliated College,Andhra Pradesh,Prakasam
11,"Acharya Nagarjuna University, Guntur ",Adarsa Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
12,"Acharya Nagarjuna University, Guntur ",A.G.K.M.College ,Affiliated College,Andhra Pradesh,Guntur
13,"Acharya Nagarjuna University, Guntur ",A.L.College of Education ,Affiliated College,Andhra Pradesh,Guntur
14,"Acharya Nagarjuna University, Guntur ",Ali College of Education ,Affiliated College,Andhra Pradesh,Guntur
15,"Acharya Nagarjuna University, Guntur ",AL Momin College of Education ,Affiliated College,Andhra Pradesh,Prakasam
16,"Acharya Nagarjuna University, Guntur ",Alpha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
17,"Acharya Nagarjuna University, Guntur ","Alpha College of Education, Kanigiri ",Affiliated College,Andhra Pradesh,Prakasam
18,"Acharya Nagarjuna University, Guntur ",Alpha Degree College ,Affiliated College,Andhra Pradesh,Prakasam
19,"Acharya Nagarjuna University, Guntur ",Aman Showkath B.Ed College ,Affiliated College,Andhra Pradesh,Guntur
20,"Acharya Nagarjuna University, Guntur ",A.M.G.College of Education ,Affiliated College,Andhra Pradesh,Guntur
21,"Acharya Nagarjuna University, Guntur ",A.M.G.Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
22,"Acharya Nagarjuna University, Guntur ",A.M Reddy College of Education ,Affiliated College,Andhra Pradesh,Guntur
23,"Acharya Nagarjuna University, Guntur ",A.M. Reddy Memorial College of Pharmacy ,Affiliated College,Andhra Pradesh,Guntur
24,"Acharya Nagarjuna University, Guntur ",Amrutha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
25,"Acharya Nagarjuna University, Guntur ",Amrutha Degree College ,Affiliated College,Andhra Pradesh,Prakasam
26,"Acharya Nagarjuna University, Guntur ",Andhra Kesari College of Education ,Affiliated College,Andhra Pradesh,Prakasam
27,"Acharya Nagarjuna University, Guntur ",Andhra Kesari Vidya Kendram Degree College ,Affiliated College,Andhra Pradesh,Prakasam
28,"Acharya Nagarjuna University, Guntur ",Andhra Muslim College ,Affiliated College,Andhra Pradesh,Guntur
29,"Acharya Nagarjuna University, Guntur ",Andhra Muslim College of Education ,Affiliated College,Andhra Pradesh,Guntur
30,"Acharya Nagarjuna University, Guntur ",Anitha Venkateswara College of Eduation ,Affiliated College,Andhra Pradesh,Guntur
31,"Acharya Nagarjuna University, Guntur ",Annabattuni Satyanarayana Degree College ,Affiliated College,Andhra Pradesh,Guntur
32,"Acharya Nagarjuna University, Guntur ",Anniebesant College of Education ,Affiliated College,Andhra Pradesh,Prakasam
33,"Acharya Nagarjuna University, Guntur ",ANU PG Campus Ongole ,PG Center / Off-Campus Center,Andhra Pradesh,Prakasam
34,"Acharya Nagarjuna University, Guntur ",A.P.Residential Degree College ,Affiliated College,Andhra Pradesh,Guntur
35,"Acharya Nagarjuna University, Guntur ",Asha College of Education ,Affiliated College,Andhra Pradesh,Prakasam
36,"Acharya Nagarjuna University, Guntur ",A.S.M & A.W. D Women's Degree College ,Affiliated College,Andhra Pradesh,Guntur
37,"Acharya Nagarjuna University, Guntur ","A.S.N Pharmacy College, Tenali ",Affiliated College,Andhra Pradesh,Guntur
38,"Acharya Nagarjuna University, Guntur ",B.A & K.R College of Education ,Affiliated College,Andhra Pradesh,Prakasam
39,"Acharya Nagarjuna University, Guntur ",B.A & K.R Degree College ,Affiliated College,Andhra Pradesh,Prakasam
40,"Acharya Nagarjuna University, Guntur ",Balaji Degree College ,Affiliated College,Andhra Pradesh,Guntur
41,"Acharya Nagarjuna University, Guntur ",Bapatla College of Arts & Science ,Affiliated College,Andhra Pradesh,Guntur
42,"Acharya Nagarjuna University, Guntur ",Bapatla Engineering College ,Affiliated College,Andhra Pradesh,Guntur
43,"Acharya Nagarjuna University, Guntur ",Bapatla Womens Engineering College ,Affiliated College,Andhra Pradesh,Guntur
44,"Acharya Nagarjuna University, Guntur ",Bapuji College of Education ,Affiliated College,Andhra Pradesh,Guntur
45,"Acharya Nagarjuna University, Guntur ",B.B.H Degree College ,Affiliated College,Andhra Pradesh,Prakasam
46,"Acharya Nagarjuna University, Guntur ","B.G Degree College, Sattenapalli ",Affiliated College,Andhra Pradesh,Guntur
47,"Acharya Nagarjuna University, Guntur ",Bharathi Degree College ,Affiliated College,Andhra Pradesh,Prakasam
48,"Acharya Nagarjuna University, Guntur ",Bhashyam College of Education ,Affiliated College,Andhra Pradesh,Guntur
49,"Acharya Nagarjuna University, Guntur ",B.H.H Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
50,"Acharya Nagarjuna University, Guntur ","B.M.Degree College, P.Dornala ",Affiliated College,Andhra Pradesh,Prakasam
51,"Acharya Nagarjuna University, Guntur ",BMRM Jhansi B.Ed College ,Affiliated College,Andhra Pradesh,Prakasam
52,"Acharya Nagarjuna University, Guntur ",B.R College of Education ,Affiliated College,Andhra Pradesh,Guntur
53,"Acharya Nagarjuna University, Guntur ",B.S.S.B College ,Affiliated College,Andhra Pradesh,Guntur
54,"Acharya Nagarjuna University, Guntur ",B.V.S.P.M Degree College ,Affiliated College,Andhra Pradesh,Prakasam
55,"Acharya Nagarjuna University, Guntur ",Career Degree College ,Affiliated College,Andhra Pradesh,Guntur
56,"Acharya Nagarjuna University, Guntur ","Chaitanya Bharathi Degree College, Chirala ",Affiliated College,Andhra Pradesh,Prakasam
57,"Acharya Nagarjuna University, Guntur ",Chaitanya College of Education ,Affiliated College,Andhra Pradesh,Prakasam
58,"Acharya Nagarjuna University, Guntur ","Chakradhar Degree College, Macherla ",Affiliated College,Andhra Pradesh,Guntur
59,"Acharya Nagarjuna University, Guntur ","Chalapathi Degree College, Lam ",Affiliated College,Andhra Pradesh,Guntur
60,"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Engineering & Technology, Lam ",Affiliated College,Andhra Pradesh,Guntur
61,"Acharya Nagarjuna University, Guntur ","Chalapathi Institute of Pharmaceutical Sciences, Lam ",Affiliated College,Andhra Pradesh,Guntur
62,"Acharya Nagarjuna University, Guntur ",Chebrolu Hanumaiah College of Pharmaceutical Sciences ,Affiliated College,Andhra Pradesh,Guntur
63,"Acharya Nagarjuna University, Guntur ",Chegireddy Linga Reddy Instt of Management ,Affiliated College,Andhra Pradesh,Prakasam
64,"Acharya Nagarjuna University, Guntur ","Chirala College of PG Studies, Chirala ",Affiliated College,Andhra Pradesh,Guntur
65,"Acharya Nagarjuna University, Guntur ",Chiristian Women's College ,Affiliated College,Andhra Pradesh,Guntur
66,"Acharya Nagarjuna University, Guntur ",Christu Jayanthi Jubilee College (P.G.) ,Affiliated College,Andhra Pradesh,Guntur
67,"Acharya Nagarjuna University, Guntur ",C.I.L.For Rural Management ,Affiliated College,Andhra Pradesh,Guntur
68,"Acharya Nagarjuna University, Guntur ",C.R. College ,Affiliated College,Andhra Pradesh,Guntur
69,"Acharya Nagarjuna University, Guntur ",C.S.R. Sarma College ,Affiliated College,Andhra Pradesh,Prakasam
70,"Acharya Nagarjuna University, Guntur ",D.C.R.M Degree College ,Affiliated College,Andhra Pradesh,Prakasam
71,"Acharya Nagarjuna University, Guntur ","D.C.R.M P.G College, MBA ",Affiliated College,Andhra Pradesh,Prakasam
72,"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbaiah Degree College ,Affiliated College,Andhra Pradesh,Prakasam
73,"Acharya Nagarjuna University, Guntur ",Devathi Venkata Subbiah College of Education ,Affiliated College,Andhra Pradesh,Prakasam
74,"Acharya Nagarjuna University, Guntur ",Don Bosco College (P.G.) ,Affiliated College,Andhra Pradesh,Guntur
75,"Acharya Nagarjuna University, Guntur ",Dr. B.R.Ambedkar Centenary Degree College ,Affiliated College,Andhra Pradesh,Guntur
76,"Acharya Nagarjuna University, Guntur ",Dr.Homi Jahangir Baba Degree College ,Affiliated College,Andhra Pradesh,Guntur
77,"Acharya Nagarjuna University, Guntur ",Dr. Jayapradamba Degree College ,Affiliated College,Andhra Pradesh,Guntur
78,"Acharya Nagarjuna University, Guntur ",Dr. K.R.R.M. Degree College ,Affiliated College,Andhra Pradesh,Guntur
79,"Acharya Nagarjuna University, Guntur ",Dr. K.S.P.R College of Education ,Affiliated College,Andhra Pradesh,Guntur
80,"Acharya Nagarjuna University, Guntur ",Dr.K.V.K. Sanskrit College ,Affiliated College,Andhra Pradesh,Guntur
81,"Acharya Nagarjuna University, Guntur ",D.R.N.S.C.V.S. College ,Affiliated College,Andhra Pradesh,Guntur
82,"Acharya Nagarjuna University, Guntur ",Dr. Samuel George College of Pharmaceutical Science ,Affiliated College,Andhra Pradesh,Prakasam
83,"Acharya Nagarjuna University, Guntur ",Dr. Zakir Hussain College of Education ,Affiliated College,Andhra Pradesh,Guntur
84,"Acharya Nagarjuna University, Guntur ","D.S.Govt. Degree College for Women, Ongole ",Affiliated College,Andhra Pradesh,Prakasam
85,"Acharya Nagarjuna University, Guntur ",Erigineni Tirupati Naidu & Lakshmamma Degree College ,Affiliated College,Andhra Pradesh,Prakasam
86,"Acharya Nagarjuna University, Guntur ",Fatima College of Education ,Affiliated College,Andhra Pradesh,Guntur
87,"Acharya Nagarjuna University, Guntur ",G.C.K.V.N. Degree College ,Affiliated College,Andhra Pradesh,Guntur
88,"Acharya Nagarjuna University, Guntur ",G.C & Y P N Degree College ,Affiliated College,Andhra Pradesh,Prakasam
89,"Acharya Nagarjuna University, Guntur ",Geetham Degree College ,Affiliated College,Andhra Pradesh,Prakasam
90,"Acharya Nagarjuna University, Guntur ","Geethanjali Degree College, Darsi ",Affiliated College,Andhra Pradesh,Prakasam
91,"Acharya Nagarjuna University, Guntur ",Geethika B.Ed College ,Affiliated College,Andhra Pradesh,Guntur
92,"Acharya Nagarjuna University, Guntur ",Goutham College of Education ,Affiliated College,Andhra Pradesh,Prakasam
93,"Acharya Nagarjuna University, Guntur ","Government Degree College, Cumbum ",Affiliated College,Andhra Pradesh,Prakasam
94,"Acharya Nagarjuna University, Guntur ","Government Degree College, Yerragondapalem ",Affiliated College,Andhra Pradesh,Prakasam
95,"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Chebrolu ",Affiliated College,Andhra Pradesh,Guntur
96,"Acharya Nagarjuna University, Guntur ","Govt. Degree College for Women, Guntur ",Affiliated College,Andhra Pradesh,Guntur
97,"Acharya Nagarjuna University, Guntur ","Govt. Degree College, Kanigiri ",Affiliated College,Andhra Pradesh,Prakasam
98,"Acharya Nagarjuna University, Guntur ","G.R.K Degree College, Maddipadu ",Affiliated College,Andhra Pradesh,Prakasam
99,"Acharya Nagarjuna University, Guntur ",G.R.R. & T.P.R. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
100,"Acharya Nagarjuna University, Guntur ",G.S.R. Degree College ,Affiliated College,Andhra Pradesh,Guntur
101,"Acharya Nagarjuna University, Guntur ",G.V.& A.D.S.L. College of Education ,Affiliated College,Andhra Pradesh,Prakasam
102,"Acharya Nagarjuna University, Guntur ",G.V.R & S College of Education ,Affiliated College,Andhra Pradesh,Guntur
103,"Acharya Nagarjuna University, Guntur ",G V R & S Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
104,"Acharya Nagarjuna University, Guntur ",G.V.R.S Institute for Professional Studies ,Affiliated College,Andhra Pradesh,Guntur
105,"Acharya Nagarjuna University, Guntur ",G.V.S.M. GOVT. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
106,"Acharya Nagarjuna University, Guntur ",Hazarath Ameeruddin College of Education ,Affiliated College,Andhra Pradesh,Prakasam
107,"Acharya Nagarjuna University, Guntur ","Hindu College, Guntur ",Affiliated College,Andhra Pradesh,Guntur
108,"Acharya Nagarjuna University, Guntur ",Hindu College of Education ,Affiliated College,Andhra Pradesh,Guntur
109,"Acharya Nagarjuna University, Guntur ","Hindu College of Management, Guntur ",Affiliated College,Andhra Pradesh,Guntur
110,"Acharya Nagarjuna University, Guntur ",Hindu College of Pharmacy ,Affiliated College,Andhra Pradesh,Guntur
111,"Acharya Nagarjuna University, Guntur ",H.M.K.S. & M.G.S. Memorial College of Education ,Affiliated College,Andhra Pradesh,Guntur
112,"Acharya Nagarjuna University, Guntur ",Ideal & S.K.C.M Degree College ,Affiliated College,Andhra Pradesh,Prakasam
113,"Acharya Nagarjuna University, Guntur ",Indira Priyadarsni Law College ,Affiliated College,Andhra Pradesh,Prakasam
114,"Acharya Nagarjuna University, Guntur ",J.C. College of Law ,Affiliated College,Andhra Pradesh,Guntur
115,"Acharya Nagarjuna University, Guntur ",J.K.C. College ,Affiliated College,Andhra Pradesh,Guntur
116,"Acharya Nagarjuna University, Guntur ",J.M.J. College for Women ,Affiliated College,Andhra Pradesh,Guntur
117,"Acharya Nagarjuna University, Guntur ",J.R.R Navodaya Degree College ,Affiliated College,Andhra Pradesh,Guntur
118,"Acharya Nagarjuna University, Guntur ",Kalikamba College of Education ,Affiliated College,Andhra Pradesh,Prakasam
119,"Acharya Nagarjuna University, Guntur ","Kalyani MCA College, Eethamukkala ",Affiliated College,Andhra Pradesh,Prakasam
120,"Acharya Nagarjuna University, Guntur ",Kamala College of Education ,Affiliated College,Andhra Pradesh,Prakasam
121,"Acharya Nagarjuna University, Guntur ",Kamala Institute of Management Studies ,Affiliated College,Andhra Pradesh,Prakasam
122,"Acharya Nagarjuna University, Guntur ",Kasturibai College of Education ,Affiliated College,Andhra Pradesh,Guntur
123,"Acharya Nagarjuna University, Guntur ",K Chandrakala College (P.G.) ,Affiliated College,Andhra Pradesh,Guntur
124,"Acharya Nagarjuna University, Guntur ",K.C Reddy Institute of Pharmaceutical Sciences ,Affiliated College,Andhra Pradesh,Guntur
125,"Acharya Nagarjuna University, Guntur ","KC Reddy PG College, Janamguntapalem ",Affiliated College,Andhra Pradesh,Guntur
126,"Acharya Nagarjuna University, Guntur ",K.L.N. Sanskrit College ,Affiliated College,Andhra Pradesh,Guntur
127,"Acharya Nagarjuna University, Guntur ",K.L.R. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
128,"Acharya Nagarjuna University, Guntur ",Konijeti Rosaiah Siva Lakshmi College ,Affiliated College,Andhra Pradesh,Guntur
129,"Acharya Nagarjuna University, Guntur ",Krishnaveni Degree College ,Affiliated College,Andhra Pradesh,Guntur
130,"Acharya Nagarjuna University, Guntur ","Krishnaveni Degree College, Vinukonda ",Affiliated College,Andhra Pradesh,Guntur
131,"Acharya Nagarjuna University, Guntur ",K R K Govt. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
132,"Acharya Nagarjuna University, Guntur ",K.S.R & K.R.K College of Education ,Affiliated College,Andhra Pradesh,Guntur
133,"Acharya Nagarjuna University, Guntur ","K.S.R.N. Degree College, Govada ",Affiliated College,Andhra Pradesh,Guntur
134,"Acharya Nagarjuna University, Guntur ","K.V.R., K.VR. & M.K.R College ",Affiliated College,Andhra Pradesh,Guntur
135,"Acharya Nagarjuna University, Guntur ",Lakshmi Narsimha College of Education ,Affiliated College,Andhra Pradesh,Guntur
136,"Acharya Nagarjuna University, Guntur ",Magunta Subba Rami Reddy Degree College ,Affiliated College,Andhra Pradesh,Prakasam
137,"Acharya Nagarjuna University, Guntur ",Mahatma Gandhi College ,Affiliated College,Andhra Pradesh,Guntur
138,"Acharya Nagarjuna University, Guntur ",Malineni Lakshmaiah B.Ed College ,Affiliated College,Andhra Pradesh,Prakasam
139,"Acharya Nagarjuna University, Guntur ",M.A.M College of Education ,Affiliated College,Andhra Pradesh,Guntur
140,"Acharya Nagarjuna University, Guntur ","M.A.M College of Pharmacy, Narsaraopet ",Affiliated College,Andhra Pradesh,Guntur
141,"Acharya Nagarjuna University, Guntur ",Matrusri Oriental College ,Affiliated College,Andhra Pradesh,Guntur
142,"Acharya Nagarjuna University, Guntur ",M.G College of Education ,Affiliated College,Andhra Pradesh,Prakasam
143,"Acharya Nagarjuna University, Guntur ","Mittapalli Lakshmaiah & Sons Degree College, Piduguralla ",Affiliated College,Andhra Pradesh,Guntur
144,"Acharya Nagarjuna University, Guntur ",M.L. College of MBA ,Affiliated College,Andhra Pradesh,Prakasam
145,"Acharya Nagarjuna University, Guntur ",M.L. College of Pharmacy ,Affiliated College,Andhra Pradesh,Prakasam
146,"Acharya Nagarjuna University, Guntur ","M.M.R Degree College, Macherla ",Affiliated College,Andhra Pradesh,Guntur
147,"Acharya Nagarjuna University, Guntur ",Modern Degree College ,Affiliated College,Andhra Pradesh,Guntur
148,"Acharya Nagarjuna University, Guntur ",Morning Star College ,Affiliated College,Andhra Pradesh,Guntur
149,"Acharya Nagarjuna University, Guntur ","Mother Theresa Womens Degree College, Karampudi ",Affiliated College,Andhra Pradesh,Guntur
150,"Acharya Nagarjuna University, Guntur ","M.S.R. Degree College, Bapatla ",Affiliated College,Andhra Pradesh,Guntur
151,"Acharya Nagarjuna University, Guntur ",M.V.G.R. Degree College ,Affiliated College,Andhra Pradesh,Guntur
152,"Acharya Nagarjuna University, Guntur ","M.V.R Degree College, Karlapalem ",Affiliated College,Andhra Pradesh,Guntur
153,"Acharya Nagarjuna University, Guntur ",M.V.R.S. Viveka Degree College ,Affiliated College,Andhra Pradesh,Guntur
154,"Acharya Nagarjuna University, Guntur ",Nagarjuna College of Education ,Affiliated College,Andhra Pradesh,Guntur
155,"Acharya Nagarjuna University, Guntur ","Nagarjuna Institute of Management Studies, Chekurapadu ",Affiliated College,Andhra Pradesh,Prakasam
156,"Acharya Nagarjuna University, Guntur ",Nalanda College of Education ,Affiliated College,Andhra Pradesh,Guntur
157,"Acharya Nagarjuna University, Guntur ",National Minority Degree College ,Affiliated College,Andhra Pradesh,Prakasam
158,"Acharya Nagarjuna University, Guntur ",Navya Chaitanya College of Education ,Affiliated College,Andhra Pradesh,Prakasam
159,"Acharya Nagarjuna University, Guntur ",N.B.T & N V C College ,Affiliated College,Andhra Pradesh,Guntur
160,"Acharya Nagarjuna University, Guntur ",New Era College of Education ,Affiliated College,Andhra Pradesh,Guntur
161,"Acharya Nagarjuna University, Guntur ","Nirmala College of Pharmacy, Mangalagiri ",Affiliated College,Andhra Pradesh,Guntur
162,"Acharya Nagarjuna University, Guntur ",N.N.R. & C.L. Degree College ,Affiliated College,Andhra Pradesh,Prakasam
163,"Acharya Nagarjuna University, Guntur ",N.N.S. Vidya College of P.G. Studies ,Affiliated College,Andhra Pradesh,Prakasam
164,"Acharya Nagarjuna University, Guntur ",N.N.S Vidya Degree College ,Affiliated College,Andhra Pradesh,Prakasam
165,"Acharya Nagarjuna University, Guntur ",N.R.K & K.S.R Gupta College of Pharmacy ,Affiliated College,Andhra Pradesh,Guntur
166,"Acharya Nagarjuna University, Guntur ",N.R.K. & K.S.R. Gupta Degree College ,Affiliated College,Andhra Pradesh,Guntur
167,"Acharya Nagarjuna University, Guntur ",N.T.R Memorial Degree College ,Affiliated College,Andhra Pradesh,Prakasam
168,"Acharya Nagarjuna University, Guntur ",Omega College of Education ,Affiliated College,Andhra Pradesh,Prakasam
169,"Acharya Nagarjuna University, Guntur ","Palnadu College of Education, Narayanapuram ",Affiliated College,Andhra Pradesh,Guntur
170,"Acharya Nagarjuna University, Guntur ",P.B.N. College ,Affiliated College,Andhra Pradesh,Guntur
171,"Acharya Nagarjuna University, Guntur ",Pedanandipadu College of Arts and Sciences ,Affiliated College,Andhra Pradesh,Guntur
172,"Acharya Nagarjuna University, Guntur ",P.N.C.A Degree College ,Affiliated College,Andhra Pradesh,Prakasam
173,"Acharya Nagarjuna University, Guntur ",P.N.C & K.R. College ,Affiliated College,Andhra Pradesh,Guntur
174,"Acharya Nagarjuna University, Guntur ",Prabhala Lakshminarayana Memorial Degree College ,Affiliated College,Andhra Pradesh,Guntur
175,"Acharya Nagarjuna University, Guntur ","Prabhala PG College for Women, Nagarjuna Nagar ",Affiliated College,Andhra Pradesh,Guntur
176,"Acharya Nagarjuna University, Guntur ",Pratap College of Education ,Affiliated College,Andhra Pradesh,Prakasam
177,"Acharya Nagarjuna University, Guntur ",Prathiba Degree College ,Affiliated College,Andhra Pradesh,Prakasam
178,"Acharya Nagarjuna University, Guntur ","Pratibha Degree College, Pedanandipadu ",Affiliated College,Andhra Pradesh,Guntur
179,"Acharya Nagarjuna University, Guntur ",Priya Darisini Degree College ,Affiliated College,Andhra Pradesh,Guntur
180,"Acharya Nagarjuna University, Guntur ",Priyadarsini Institute of Pharmaceutical Science ,Affiliated College,Andhra Pradesh,Guntur
181,"Acharya Nagarjuna University, Guntur ",Priyanka College of Education ,Affiliated College,Andhra Pradesh,Prakasam
182,"Acharya Nagarjuna University, Guntur ",P.S.B. College of Education ,Affiliated College,Andhra Pradesh,Prakasam
183,"Acharya Nagarjuna University, Guntur ",Qis College of Education ,Affiliated College,Andhra Pradesh,Prakasam
184,"Acharya Nagarjuna University, Guntur ","Radha Degree College, Vinukonda ",Affiliated College,Andhra Pradesh,Guntur
185,"Acharya Nagarjuna University, Guntur ",Raghava Degree College - Ongole ,Affiliated College,Andhra Pradesh,Prakasam
186,"Acharya Nagarjuna University, Guntur ",Rahul Institute of Pharmaceutical Sciences & Research ,Affiliated College,Andhra Pradesh,Prakasam
187,"Acharya Nagarjuna University, Guntur ","Rahul Subramanyam Memorial Instt of Management Studies, Chirala ",Affiliated College,Andhra Pradesh,Prakasam
188,"Acharya Nagarjuna University, Guntur ",Ravindra Bharathi College of Education ,Affiliated College,Andhra Pradesh,Prakasam
189,"Acharya Nagarjuna University, Guntur ",Repalle Christian College ,Affiliated College,Andhra Pradesh,Guntur
190,"Acharya Nagarjuna University, Guntur ",Repalle Christian College of Education ,Affiliated College,Andhra Pradesh,Guntur
191,"Acharya Nagarjuna University, Guntur ",R.V.R. & J.C. College of Engineering ,Affiliated College,Andhra Pradesh,Guntur
192,"Acharya Nagarjuna University, Guntur ",R.V.R.R. College of Education ,Affiliated College,Andhra Pradesh,Guntur
193,"Acharya Nagarjuna University, Guntur ",R.V.V.N. College ,Affiliated College,Andhra Pradesh,Guntur
194,"Acharya Nagarjuna University, Guntur ",S.A.B.R. Govt. Degree College ,Affiliated College,Andhra Pradesh,Guntur
195,"Acharya Nagarjuna University, Guntur ",Sadhana Degree College ,Affiliated College,Andhra Pradesh,Guntur
196,"Acharya Nagarjuna University, Guntur ",Sadineni Chowdaraiah College of Arts & Science ,Affiliated College,Andhra Pradesh,Guntur
197,"Acharya Nagarjuna University, Guntur ",Sai Chaitanya Degree College Giddalur ,Affiliated College,Andhra Pradesh,Prakasam
198,"Acharya Nagarjuna University, Guntur ",Sarada College of Pharmaceutical Sciences ,Affiliated College,Andhra Pradesh,Guntur
199,"Acharya Nagarjuna University, Guntur ","Sarada Degree College, Medarametla ",Affiliated College,Andhra Pradesh,Prakasam
200,"Acharya Nagarjuna University, Guntur ","Saraswathi College of Arts & Science, Dachepalli ",Affiliated College,Andhra Pradesh,Guntur
201,"Acharya Nagarjuna University, Guntur ","S.B.G. Degree College, Sattenapalli ",Affiliated College,Andhra Pradesh,Guntur
202,"Acharya Nagarjuna University, Guntur ",S.B.M.S. Degree College ,Affiliated College,Andhra Pradesh,Guntur
203,"Acharya Nagarjuna University, Guntur ",S.B.Swamy Sanskrit College ,Affiliated College,Andhra Pradesh,Guntur
204,"Acharya Nagarjuna University, Guntur ","S.B.V.S.R College of Education, Cheemakurthi ",Affiliated College,Andhra Pradesh,Prakasam
205,"Acharya Nagarjuna University, Guntur ",Seven Hills College of Education ,Affiliated College,Andhra Pradesh,Guntur
206,"Acharya Nagarjuna University, Guntur ",S.G.H.R. & M.C.M.R.College ,Affiliated College,Andhra Pradesh,Guntur
207,"Acharya Nagarjuna University, Guntur ","S.G.K Govt. Degree College, Vinukonda ",Affiliated College,Andhra Pradesh,Guntur
208,"Acharya Nagarjuna University, Guntur ",S.G.K. Oriental College ,Affiliated College,Andhra Pradesh,Guntur
209,"Acharya Nagarjuna University, Guntur ",S.G.T. & J.V.B.College ,Affiliated College,Andhra Pradesh,Guntur
210,"Acharya Nagarjuna University, Guntur ",S.G.V. Oriental College ,Affiliated College,Andhra Pradesh,Prakasam
211,"Acharya Nagarjuna University, Guntur ","Shams-Ul_Uloom College of Education, Markapur ",Affiliated College,Andhra Pradesh,Prakasam
212,"Acharya Nagarjuna University, Guntur ","Shams-Ul-Uloom College of Education, Podili ",Affiliated College,Andhra Pradesh,Prakasam
213,"Acharya Nagarjuna University, Guntur ",Shivani Degree College ,Affiliated College,Andhra Pradesh,Guntur
214,"Acharya Nagarjuna University, Guntur ","Siddhartha Institute of Pharmaceutical Sciences, Jonnalagadda ",Affiliated College,Andhra Pradesh,Guntur
215,"Acharya Nagarjuna University, Guntur ",SIMS College of Education ,Affiliated College,Andhra Pradesh,Guntur
216,"Acharya Nagarjuna University, Guntur ","SIMS College of Life Sciences, Guntur ",Affiliated College,Andhra Pradesh,Guntur
217,"Acharya Nagarjuna University, Guntur ",SIMS College of Pharmacy ,Affiliated College,Andhra Pradesh,Guntur
218,"Acharya Nagarjuna University, Guntur ",S.K.B.R. Govt. College ,Affiliated College,Andhra Pradesh,Guntur
219,"Acharya Nagarjuna University, Guntur ",S.K.R.B.R. College ,Affiliated College,Andhra Pradesh,Guntur
220,"Acharya Nagarjuna University, Guntur ",S.K.S.V. Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
221,"Acharya Nagarjuna University, Guntur ",S.L.V. College of Education ,Affiliated College,Andhra Pradesh,Prakasam
222,"Acharya Nagarjuna University, Guntur ",S.M.P.A. Degree College ,Affiliated College,Andhra Pradesh,Guntur
223,"Acharya Nagarjuna University, Guntur ",SMS & SMCMR College of Education ,Affiliated College,Andhra Pradesh,Guntur
224,"Acharya Nagarjuna University, Guntur ","Smt. Koonapareddy Prameela Rani Degree College, Parchoor ",Affiliated College,Andhra Pradesh,Prakasam
225,"Acharya Nagarjuna University, Guntur ",Smt. Sanagala Prameela Degree College ,Affiliated College,Andhra Pradesh,Guntur
226,"Acharya Nagarjuna University, Guntur ",S M Y College of Education ,Affiliated College,Andhra Pradesh,Prakasam
227,"Acharya Nagarjuna University, Guntur ",S.N.B.T. Degree College for Women ,Affiliated College,Andhra Pradesh,Guntur
228,"Acharya Nagarjuna University, Guntur ",S.N.B.T.M. College of Education ,Affiliated College,Andhra Pradesh,Guntur
229,"Acharya Nagarjuna University, Guntur ",Sri Chaitanya College of Education ,Affiliated College,Andhra Pradesh,Prakasam
230,"Acharya Nagarjuna University, Guntur ",Sri C.V. Raman College of Computer Science ,Affiliated College,Andhra Pradesh,Prakasam
231,"Acharya Nagarjuna University, Guntur ",Sri Gayatri Vidya Parishad Degree College ,Affiliated College,Andhra Pradesh,Prakasam
